CustomerID,CustomerName,Email,Phone,City,Country
65.0,Patricia Smith,olsentamara@yahoo.com,(097)398-8294x66819,Houston,USA
66.0,Ruth Davenport,jason54@richardson-johnson.com,466.301.9118x6243,,Brazil
67.0,Charles Green,erichood@hotmail.com,(029)810-6297x2905,Seattle,Germany
68.0,James Smith,carlosthomas@brooks.com,483.949.4639,Boston,Brazil
69.0,Troy Hunter,,0213580528,San Francisco,USA
70.0,Glenn Casey,brandyrichardson@schmidt.net,None,Chicago,Canada
71.0,Lisa May,thomas30@gmail.com,None,New York,Germany
72.0,Mr. Harry Burke MD,nathan92@yahoo.com,None,Los Angeles,USA
73.0,Michael Fleming,elizabeth09@solomon.com,(449)262-4124x881,New York,Brazil
74.0,Lisa Kelly,sarahmccullough@gmail.com,(433)596-0863x929,,UK
75.0,Stephen Richardson,vreyes@thompson-nelson.net,+1-594-269-5408x85669,Los Angeles,Germany
76.0,Thomas Lewis,lanenorman@yahoo.com,(832)607-3820x661,,UK
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
77.0,Tiffany Thompson,longeddie@perry.com,050-581-3525x2196,San Francisco,France
78.0,Jeffrey Sexton,griffinalicia@tucker-massey.com,None,Miami,India
79.0,John Freeman,andrewssherri@gmail.com,047-140-9907,Los Angeles,France
80.0,Samantha Silva DVM,david95@foster-wilson.com,None,Los Angeles,India
56.0,Jon Cabrera,garciaerica@romero-jacobs.net,(082)601-9861x95628,Los Angeles,Germany
21.0,Matthew Sharp,nelsonmatthew@benjamin.com,None,San Francisco,Australia
50.0,Brian Thompson,kara05@gmail.com,None,Seattle,Canada
69.0,Troy Hunter,,0213580528,San Francisco,USA
75.0,Stephen Richardson,vreyes@thompson-nelson.net,+1-594-269-5408x85669,Los Angeles,Germany
14.0,Christopher Garrett,william82@castillo.com,(642)437-1505,San Francisco,Canada
61.0,Elizabeth Rhodes,thompsongail@martin.com,001-094-907-0832x73202,Dallas,Canada
27.0,Cory Peterson,susanyoung@hotmail.com,(679)046-6052x197,Los Angeles,France
67.0,Charles Green,erichood@hotmail.com,(029)810-6297x2905,Seattle,Germany
31.0,Paul Kim,nicole92@hotmail.com,None,,
